almost bedtime 
me too 
tummy ache 
you suck 
oh dear 
me too 
doing dishes 
work time 
missed home 
im stranded 
epic fail 
bye ! 
oh ... 
seriously ? 
why ? 
i ammm 
lucky bastard 
i know 
work start 
so lol 
got busy 
love you 
tired.. 3:10am 
aw *pats* 
sucks ass 
work today 
sore tooth 
no ? 
maths homework 
last call 
my work 
sore throat 
c'mon ryan 
yeah boo 
too early 
wide awake 
is revisin 
dodgers lost 
disappointed . 
so tired 
work night 
is scared 
tired nowwwwwwwwwww 
shitty night 
ugh haters 
my neighbors 
too early 
is sad 
at work 
and another.. 
me too 
haahah thanks 
indeed bye 
sorry xx 
is tired 
ouch . 
not good 
goodbye cardiff 
too warm 
seriously confused 
ringing ... 
revision session 
me too 
get out 
missing reah 
wedding time 
ms.upton ! 
me too 
stupid weather 
ergh wednesday 
i wish 
at work 
work ... 
sick again 
so cold 
*gulp* guilty 
bad hands 
apparemment /jqr5 
same here 
me too 
truth hurts 
long story 
myweakness procrastination 
swollen cheeks 
in class 
miss moscow 
sore throat 
at home 
work . 
so tired 
crappy day 
rain again 
no breds 
tonights floppped 
road construction 
home ... 
nope ! 
has insomnia 
my hair 
still waiting.. 
washing clothes 
i know 
work ... 
3 weeks 
very tired 
homework time 
no try 
is scared 
why ? 
miss you 
flight delayed 
me too 
life sucks 
boredums much 
i cried 
soo confused 
new moooooonn 
at work 
... bummer 
both under-exposed 
im confused 
me too 
succes ron 
not mine 
too warm 
ouch . 
about 15 
poor boys 
goodbye ocean 
i agree 
workin 12-5 
miss you 
i know 
yes really 
is confused 
bad day 
greedy ! 
oh dear 
bloody lampard 
lampard scores 
awwh lol 
i know 
creepy ... 
morning already 
its over 
ouch.. jtv/clarasdiary 
seem pc 
suck ! 
work today 
not sailing 
not working 
work 3-7 
chelsea won 
oh no 
oh shit 
at work 
chelsea won 
very sad 
ireallyreallyhatemyhayfever ! 
stressing out 
back hurts 
i know 
stomach ache 
yard work 
training fail 
: lmfao 
this site 
itchy eyes 
justins gone 
so lonley 
myweakness goodbyes 
and revise 
loosing pieces 
me too 
no funds 
me too 
high school 
monopoly weg 
goodbye please 
the huns 
that sucks 
that bites 
ouch ! 
iloveyousincethe1stgradeitsthefirsttimewemet *sigh* 
single again 
am tired 
i know 
more homework 
work ... 
washin dishes 
that sucks 
sad face 
boring day 
aw . 
thats terrible 
feeling empty 
dreading work 
i know 
work tonite 
at work 
tummy ache 
slightly huuuungovah 
is /p/x9fg4 
dont dissapear 
fo reals 
me too 
that sucks 
shut up 
i miss 
stuck cleaning 
rainy day 
last day 
no surprise 
why ? 
hangovers suck 
traffic blows 
house cleaning 
cleaning sucks 
poor baby 
me too 
why ? 
defeat hurts 
annoying grandma 
oh sweetie 
that sucks 
ceee ceeee 
started raining 
im lonely 
ugh everything 
no love 
i know 
itchy ear 
awwww thanks 
totally bummed 
really bored 
. damn 
cramps ! 
awwwwwwwwwww why 
how sad 
its stooopid 
bad day 
at work 
back monday 
why ? 
pooooor dean 
monopolisten halt 
awww ! 
nate ! 
que triste 
sadly no 
ouch ouch 
me 2 
i know 
exhausted . 
working out 
tou chateado 
homework = 
bye tweets.. 
brother nooooo 
i know 
oh no 
working again 
now . 
biiiio shiit 
doing nothing 
sorry michelle 
me neither 
aww again 
just noting 
peace out 
mm alright 
oh well 
julians 3rd 
me too 
told you 
wrong shoes 
me too 
whooo ? 
me too 
aww ... 
that sucks 
..maybe not.. 
packing up 
yep . 
i missnily 
my homework 
i know 
tummy aches 
julian smith 
eye infection 
oh noooooo 
bad day 
work tonight 
sore throat 
idk idk 
bad day 
no shopping 
moving sucks 
going home 
friendfeed caï¿½do 
missing meaghan 
nooooo clue 
come back 
mine too 
so tired 
sore throat 
tummy ache 
science revision 
yepp . 
headdead . 
me too 
yes . 
i know 
me to 
you sputtered 
freaking dodgers 
yeppers . 
i like 
mine too 
is lonely 
house arrest 
work x1000000000000 
that sucks 
unfortunately not 
shut up 
awwwwww xx 
its old 
feelin depressed 
i misstoo 
today sucks 
oh thanks 
stomach ache 
yeah . 
i know 
thanks . 
your welcome 
you suck 
thunder storm 
tooth ache 
awww victor 
why ? 
yeah ... 
whattt/ whyyy 
me too 
yes ! 
tonight anything 
i wish 
bogus . 
not true 
berfday over 
im jealous 
what ? 
awwww sweetie 
possibly phished 
bad heacache 
bad headache 
ughhhh ! 
sowee . 
not partying 
is going 
that sucks 
bored now 
que pereee 
tummy achy 
not really 
i know 
whoever has 
very dirty 
bad day 
headache day 
i know 
augh sinuses 
more housework 
my foot 
ugh pens 
cavsssssss ! 
me too 
disappointed . 
no money 
i knoooooow 
oh dear 
its raining 
cavs sucks 
ughhhhhh 6-0 
hurt myself 
omg cleveland 
clevelandcongrats orlando 
sorry . 
bye cor 
next year 
me too 
doing nothing 
very very 
massive headache 
maths homework 
ohouse really 
fucking cavs 
is cold 
not yet 
i know 
me too 
why ? 
misses silver.. 
tummy ache 
apparently . 
graduation tomorrow 
ouchies *hug* 
why ? 
missing caitlyn 
has mono 
feeling ignored 
assignments ... 
hey wait 
i wish 
how sad 
work sucks 
whats wrong 
meeee tooooooo 
im exhausted 
me either 
yup ! 
... meany 
sharks lost 
bad headache 
poor thing 
fireworks delayed 
hates moving 
thank you 
me too 
c'mon bombers 
i miss 
finally home 
hurtin . 
lol pleeeaaassseeee 
you left.. 
goodnight ! 
feelings suck 
that stinks 
fail . 
my ankle 
meeeee toooo 
me cachis 
not good 
so bored 
me too 
i heard 
back hurts 
not here 
she does 
why ? 
i know 
work soon 
its stress 
not really 
absolutely nothing 
miscount 6500 
i cant 
you win 
me too 
if only 
not tonight 
im lonely 
no parking 
guilty . 
family day 
ugh..freezer time 
unfortunately no 
is tired 
me too 
i wish 
gross ... 
aw goodnight 
im hurt 
so lonely 
just comfort 
at work 
im addicted 
missed game 
being bored 
geography assignment 
ok baby 
bybye belmont 
sadis leaving 
slowly disappearing 
miss you 
shoot me 
heh yeeaaah 
ok thanks 
bad day 
oh dear 
come back 
sorry bro 
me too 
nothing ! 
i know 
awwww , 
im confused.. 
feelin lonely 
retainer pain-er 
too hot 
is out 
its empty 
u suck 
bombers lost 
stupid hiccups 
unhappy today 
headache . 
missing you 
not cool 
frozen tonight 
abee anaam 
sunday morning 
goodnight everyone 
sounds familiar 
me toooooooooooo 
hmmm work 
awwww ! 
i sawwy 
me tooo 
work tomoz 
it hurts 
is awake 
so tired 
... yes 
big cup 
lol sadface 
claimed already 
potong rambut 
oh sh*t 
me ? 
feeling guilty 
bad weather 
doing nothing 
muscle soreness 
woo chem 
why ? 
borin sunday 
oh no 
me toooo 
moodcrash laters 
am cold 
what ? 
revision time 
its ok 
early morninggg 
missed rove 
homework time 
at work 
ouch . 
tummy ache 
oooh headache 
te-am ratat.. 
ewww exams 
doing homework 
so unfair 
work tomorrow 
ouch bb 
too early 
house work 
sorry ... 
is lonely 
examz time 
team hangover 
poor cleveland 
i see 
next time 
aw *hugs* 
argh revision 
to work 
poor puppy 
so stress 
buffalo bound 
awwww . 
stomach ache 
burned . 
that sucks 
busy packing 
soreeeeeeeeeeee . 
so tired 
maths revision 
parents suck.. 
leaving michigan 
ashamed . 
bye ! 
rip chad 
homework time 
aw lolll 
geography revision 
my head 
awwwwww . 
pretty much 
need chipotle 
back pain 
ugly betty-sad 
exactly . 
thats unfair 
wicked heartburn 
groceries . 
at work 
- pinsandneedles 
crying .. 
jbg nemam 
plymouth bound 
restart . 
throat hurts 
riding horses 
post mortem 
sacanagem . 
not really 
morning world 
woah *hugs* 
i lied 
suit shopping 
oh noes 
cabelodealgodã£odoceisthenewblack -not 
homework sucks 
mornin sunshyne 
so tired 
yes lol 
oh shit 
damn you 
poor us 
enormous headache 
head ache 
work sucks 
that sucks 
i dontknow.. 
i missed 
yeah . 
me too 
true . 
please try 
got stomachache 
awefully sick 
ack ! 
aw why 
sore throat 
i know 
sucks ! 
work sucks 
come back 
ok whatever 
uuuhhggggg work 
hates everyone 
so jealous 
still up 
too bad 
mission failed 
lucky you 
secar louã§aa 
crapcrapcrapcrapcrappppp maria 
me too 
... nothing 
fagway again.. 
stillll exhausted 
thanks bb 
im crushed 
me tooo 
that stinks 
so cooldd 
is board 
good bye 
work today 
washing clothes 
not enough 
i concur 
wants waterrr 
showing it 
tummy hurts 
pining for 
dead battery 
car broke 
crap day 
take me 
work tomorrow 
understandableeeeeeee . 
poor thing 
closing show 
leaving chicago 
sore head 
cracking headache 
i am 
/4xwd3 - 
cleaning garaje 
in scotland 
whatever lol 
homework blehhhhh 
.. mean 
exams tomorrow 
why ? 
leaving atx 
tummy hurts 
work sucks 
so tired 
rip michelle 
tireedddd . 
aww *cuddle* 
craving brownies 
hangover mimosas 
no sharing 
leaving , 
work tomorrow 
fuck shakespear 
yes really 
thanks . 
lol okay 
oh bb 
me too 
please no 
cloudy day 
me too 
me too 
that sucks 
: sorry 
yard work 
freaking out 
surgery tomorrow 
at work 
doing hmwk 
lone night 
house sad 
grocery store 
really bored 
tummy hurts 
totally bummed 
not good 
cant man 
me too 
finals ! 
aww sorry 
i know 
goodbye 5628 
bored again 
bad day 
freakn pissed 
whaaatttttt ? 
today is 
stupid othello 
at work 
nooo ! 
really bored 
that sucks 
me three 
economics work 
no fair 
no ! 
me too 
missing shane 
leaving tonight 
me neither 
hates me 
school again 
work blows 
monday mornings 
i know 
only beer 
workin . 
... thunderstorm 
hate work 
sad day 
exam tomorrow 
work tonight 
chin-up ! 
me too 
me too 
i agreee 
this sucks.. 
very tired 
homework ! 
hates work 
i miss 
revision-all day 
neither worked 
heartbroken haha 
hunry roarrrrr 
goodbye twitted 
my condolences 
already awake 
bethnal green 
cedric died 
fome detected 
smith injured 
i know 
til wed 
terrible ! 
how sad 
that sucks 
work tomorrow 
thanks shercole 
pissed off 
headaches suck 
overslept today 
i know 
that hurts 
nope ! 
tummy ache 
last.fm caido 
stupid coughhh 
nuggets out 
why ? 
hunger headache 
i missalready 
goin crazy 
me too 
unfortunately lmao 
is depressed 
course work 
sore throat 
not yet 
thanks buddy 
im heartbroken 
ouch ! 
why ? 
remembering sunday 
i missalready 
i know 
very sunburned 
grass stains 
i know 
definitely . 
bastards ! 
awwwwwww cgft 
i know 
he lost 
me toooooooo 
me either 
not excited 
monday already 
poor thing 
why ? 
me too 
lucky ... 
me too 
me too 
me too 
like mine 
oh vomit 
tough loss 
mondays mornings 
rolf ! 
you suck 
nice ! 
thanks anyway 
future reflectionsssssss 
me too 
sadly yes 
me too 
bye ... 
thanx ... 
its true 
so b0red 
mondayitis indeed 
head hurts 
me too 
me too 
another blister 
his publisist 
stinky mcstinkface 
bummmm city 
she lost 
another headache 
nothing ! 
twitterin alone 
very doubtful 
wheres mine 
not happy 
me too 
lmfao no 
leaving paradise 
ouch ! 
cramps ... 
whats wrong 
... ouch 
thank you 
graduation saturday 
double whammy 
server issues 
hand hurts 
awww man 
exams tomorrow 
not funny 
gracie /dogbook/profile/view/4248144 
yeah . 
homework = 
that sucks 
sunburned knees 
me too 
car . 
miss you 
me too.. 
that sucks 
i want 
mtv awards 
yeah damn 
bad monday 
so bored 
math time 
training soon 
sure is 
work clothes 
me neither 
2 weeks 
very doubtful 
dreading tonight 
ew . 
writing exams 
i missmore 
me too 
awww really 
monday blues 
morning dear 
why ? 
miss you 
doesnt understand 
tummy ache 
so cold 
hates sunburn 
yeah . 
sorry ... 
the notebook 
too long 
freeezing now 
sick . 
sore throat 
at work 
haaaa ... 
... learning 
u better 
unfortunately me 
missed bsg 
ow ! 
doing coursework 
up early 
summer insomnia.. 
i know 
yeah ... 
history revision 
no emmy 
still nothing 
saye sayur 
red wings 
confused .. 
storms . 
college now 
revision sucks 
exam today 
*atchoooo* hayfeversucks 
whyyyyyy ? 
waiting now 
holiday sindrom 
hungry already 
poor josh 
wavy hair 
cry baby 
really bored 
is scared 
revision time 
cramps ! 
monday suck 
i.hate.exams . 
learning ... 
monday morning 
ouch ! 
so sad 
awww . 
fds acabou.. 
hate mondays 
hates exams 
chapped lips 
pining already 
hate you 
headacheeeeee . 
bored www.youtube.com/tahliacaitlyn 
ohhh monday 
no email 
me too 
aussie currency 
unhappy now 
bed time 
work again 
october 19th 
ugh monday 
silly msn 
yeah..me too 
tummy ache 
shut up 
shut up 
finish ! 
rubbish lunch 
so tired 
earrrr acchhhhheeee 
geography revision 
airplane crash 
very hungover 
at work 
maths exam 
shut-down twhirl 
haatee chemistry 
booooo work 
stomme updates 
exhausted brain 
very sad 
sorry ! 
court ... 
soo early 
monday again 
= + 
my bad 
in history.. 
leaving texas 
dead battery 
anicent history 
basketball practice 
me too 
i want 
aching belly 
updating dkp 
class begins 
no idea 
too hot 
same here 
doing inventory 
link fail 
last day 
has mono 
english revision 
at work 
yes . 
me too 
mine either 
juss keeedding 
dredding work 
work ... 
tfe *handcuffed* 
english class 
in chemistry 
so mean 
: o 
suckity . 
doctors appointment 
party pooper 
leaving tallahassee 
happy monday 
me too 
stomach ache 
chemistry class 
46 folowers_me 
i wish 
world history 
jury duty 
sunburn sucks 
im sry 
so burnt 
banging headache 
at work 
abis pulsaa 
why ? 
why ? 
chemistry revision 
have hives 
ess now 
already bumming 
really sickk 
is depressed 
is tired 
i wish 
hates bryan 
goodnight world 
me toooo 
laundry time 
needs money 
no sunshine 
omg monday 
eye ache 
i know 
unbelievably exhausted 
bad day 
at work 
stupid paintings 
at work 
rainy monday 
my condolences 
the air 
needs lunch 
lucky people 
i wont 
*hugs* xxx 
back home 
that suuuxxx 
homework sucks 
whats wrong 
come home 
at work 
miss you 
why ? 
ughhhhhhh lastnight 
website down 
gloomy day 
trying ign 
yard work 
seriously sunburnt 
screw work 
i know 
missingalready ... 
double sadness 
very disappointed 
which link 
missinalready . 
doing homeworkkkkk 
at work 
i agree 
headache . 
hogging msn 
revising computing 
not cool 
and cold 
completely stressed 
nothing hahaha 
so tired 
that sucks 
ugh work 
not me 
come back 
headache . 
tow chateado 
yeah . 
exclusive ! 
not yet 
i know 
unfortunately yes 
unfortunately no 
tummy ache 
oops ... 
i agree 
i agree 
kkz cheers 
too true 
homework ... 
epic fail 
making homework.. 
thanks sweety 
homework ... 
itchy eyes 
hell yeah 
is cleaning.. 
no fairs 
splitting headache 
ice cream 
tough eggs 
killer headache 
i know 
i know 
srsly ... 
ouch headache 
missssyou stina 
darn . 
nope . 
ohhhhhh no 
i knowwwwwwww 
truly missed 
rip precious 
my head 
here .. 
its broken 
drama coursework 
me too 
accountancy revision 
is heartbroken 
just revising 
meee toooooooooo 
cramps suck 
supersize teens 
depressing songs 
poor andy 
it is 
belly ache 
miss you 
please ? 
tummmmy ache 
econ class 
not working 
womp womp 
slow monday 
incredibly sad 
like me 
major headache 
fishy died 
show fifa 
fuckin sad 
not yet 
it hurts 
poor thing 
revising irish 
sounds good 
that sucks 
oh right 
awww ... 
bad day 
washing up 
same here 
home board 
my heeeeeeeeeead 
head hurts 
me too 
homework suckssss 
i worked 
doing homework 
not anymore 
homework day 
miss you 
poor guy 
headache ouchie 
i sorry 
everything hurtssss 
slightly sad 
me either 
ouch ! 
is lonely 
thunder storm 
i know 
working 9p-6a 
its frozen 
english summative 
feeling discouraged 
so confused 
link quebrado 
why ? 
no moustache 
ramona sucks 
doin homework 
not great 
eurgh sucky 
oh god 
byebye phone 
totally . 
meee toooo 
hate you 
i agree 
not yet 
ow . 
not yet 
scratch that 
mine either 
im sorry 
its raining 
homework ! 
good luck 
i thinkin 
yes . 
i know 
looow battery 
oh noo 
why ? 
headache ! 
homework still 
thank u 
serious ? 
yep ! 
sethy ... 
aw spencer 
i know 
right ... 
work sucks 
i sorry 
miss you 
extremely tired 
good luck 
i bet 
mentally exhausted 
poor lo 
to triste 
me too 
pain *tear* 
oh no 
doing hw 
. bored 
we failed 
i know 
fml again 
flikrmail ! 
yes . 
i know 
please do 
boo . 
i know 
my dad 
worky-work . 
is lonely 
c'est moche 
ouch ! 
wedding withdrawal 
hell yeah 
head hurts 
yes , 
thank you 
not happy 
i am 
me empache 
so tired 
bloody nose 
flex death 
english sucks 
pictures broken 
bummed out 
english essay 
too hot 
omgnowhy ! 
sigh . 
what happened 
bleeargh ! 
im hurtin 
promise ? 
really ? 
youtube fail 
horrible headache 
at home 
homework time 
still pining 
i knoow 
missing baby 
disappointed . 
my teeeeths 
si early 
i understand 
little headache 
paradise lost 
math homework 
insanly hungry 
bad headache 
shady lol 
so sad 
... yeah 
is upset 
annoying youtube 
me too 
i know 
at home 
pearl jam 
i guess 
unfortunately ... 
so overwhelmed 
mental breakdown 
i know 
so confused 
massive headache 
next time 
already miss 
why ? 
the latter 
teach me 
me too 
last day 
me too 
thats devastating 
why ? 
tummy ache 
okay lol 
work again 
dang it 
i wish 
i know 
me too 
dang youtube 
me too 
me too 
not yet 
stress hives 
that wasfault 
mines either 
@ work 
thats mean 
so tired 
you to 
i miss 
everyones asleep 
maths homework 
me too 
yer x 
yeah . 
computer problems 
work again 
cleaning dishes 
just landed 
everyday 34^c.. 
packing . 
stomach ache 
want ! 
really scared 
serious headache.. 
hot sauce 
doing homework 
mee too 
need papers 
sick again 
work tom 
no canpakes 
